LineId,Label,Timestamp,Date,Node,Time,NodeRepeat,Type,Component,Level,Content,EventId,EventTemplate
933,-,1121313853,2005.07.13,R36-M1-N9-C:J17-U01,2005-07-13-21.04.13.288105,R36-M1-N9-C:J17-U01,RAS,KERNEL,INFO,generating core.15648,E67,generating core.<*>
1594,-,1131061592,2005.11.03,R65-M1-N4-C:J10-U01,2005-11-03-15.46.32.715061,R65-M1-N4-C:J10-U01,RAS,KERNEL,INFO,iar 00106580 dear 045e141c,E70,iar <*> dear <*>
1580,-,1131060268,2005.11.03,R67-M0-N1-C:J11-U01,2005-11-03-15.24.28.446530,R67-M0-N1-C:J11-U01,RAS,KERNEL,INFO,iar 00106580 dear 02494bcc,E70,iar <*> dear <*>
787,-,1120969432,2005.07.09,R27-M0-N3-C:J04-U01,2005-07-09-21.23.52.155670,R27-M0-N3-C:J04-U01,RAS,KERNEL,INFO,generating core.26955,E67,generating core.<*>
1211,-,1123110774,2005.08.03,,2005-08-03-16.12.54.271533,,RAS,MMCS,ERROR,"idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",E74,"idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)"
412,-,1119715980,2005.06.25,R00-M0-N1-C:J09-U11,2005-06-25-09.13.00.933541,R00-M0-N1-C:J09-U11,RAS,KERNEL,INFO,generating core.39138,E67,generating core.<*>
250,-,1118770603,2005.06.14,R24-M1-NE-C:J15-U11,2005-06-14-10.36.43.928442,R24-M1-NE-C:J15-U11,RAS,KERNEL,FATAL,store operation.............................1,E116,store operation.............................<*>
1606,-,1131063785,2005.11.03,R54-M1-N2-C:J06-U01,2005-11-03-16.23.05.085001,R54-M1-N2-C:J06-U01,RAS,KERNEL,INFO,2354412 floating point alignment exceptions,E4,<*> floating point alignment exceptions
942,-,1121314001,2005.07.13,R21-M0-N5-C:J13-U11,2005-07-13-21.06.41.876909,R21-M0-N5-C:J13-U11,RAS,KERNEL,INFO,generating core.9337,E67,generating core.<*>
1797,-,1133052171,2005.11.26,R14-M1-NC-I:J18-U01,2005-11-26-16.42.51.171566,R14-M1-NC-I:J18-U01,RAS,KERNEL,INFO,"ciod: Received signal 15, code=0, errno=0, address=0x000001f2",E41,"ciod: Received signal <*>, code=<*>, errno=<*>, address=<*>"
814,-,1121006800,2005.07.10,R24-M1-N7-C:J16-U11,2005-07-10-07.46.40.398797,R24-M1-N7-C:J16-U11,RAS,KERNEL,INFO,generating core.16600,E67,generating core.<*>
1219,-,1123178302,2005.08.04,R06-M1-ND,2005-08-04-10.58.22.010246,R06-M1-ND,,DISCOVERY,WARNING,Node card is not fully functional,E90,Node card is not fully functional
1421,-,1127243221,2005.09.20,,2005-09-20-12.07.01.621806,,RAS,MMCS,ERROR,"idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",E74,"idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=<*> Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)"
578,-,1120449840,2005.07.03,R27-M1-N3-C:J13-U11,2005-07-03-21.04.00.795038,R27-M1-N3-C:J13-U11,RAS,KERNEL,INFO,generating core.22905,E67,generating core.<*>
1716,-,1131478044,2005.11.08,R63-M0-N3-C:J02-U11,2005-11-08-11.27.24.415997,R63-M0-N3-C:J02-U11,RAS,KERNEL,INFO,iar 001061e8 dear 0247015c,E70,iar <*> dear <*>
1582,-,1131060319,2005.11.03,R66-M0-N7-C:J08-U01,2005-11-03-15.25.19.549536,R66-M0-N7-C:J08-U01,RAS,KERNEL,INFO,iar 00106534 dear 02494c0c,E70,iar <*> dear <*>
1294,-,1125083411,2005.08.26,R64-M1-N3-C:J07-U11,2005-08-26-12.10.11.586133,R64-M1-N3-C:J07-U11,RAS,KERNEL,INFO,iar 003a929c dear 00efc768,E70,iar <*> dear <*>
910,-,1121311928,2005.07.13,R21-M0-N2-C:J05-U01,2005-07-13-20.32.08.455087,R21-M0-N2-C:J05-U01,RAS,KERNEL,INFO,generating core.26735,E67,generating core.<*>
607,-,1120772793,2005.07.07,R00-M0-N4-C:J04-U11,2005-07-07-14.46.33.219615,R00-M0-N4-C:J04-U11,RAS,KERNEL,INFO,generating core.303,E67,generating core.<*>
143,KERNDTLB,1118550514,2005.06.11,R30-M0-N9-C:J16-U01,2005-06-11-21.28.34.864892,R30-M0-N9-C:J16-U01,RAS,KERNEL,FATAL,data TLB error interrupt,E55,data TLB error interrupt
842,-,1121252326,2005.07.13,R26-M1-N1-C:J11-U01,2005-07-13-03.58.46.179005,R26-M1-N1-C:J11-U01,RAS,KERNEL,INFO,117400328 double-hummer alignment exceptions,E3,<*> double-hummer alignment exceptions
1533,-,1131057844,2005.11.03,R61-M1-NB-C:J17-U11,2005-11-03-14.44.04.612936,R61-M1-NB-C:J17-U11,RAS,KERNEL,INFO,640404 floating point alignment exceptions,E4,<*> floating point alignment exceptions
949,-,1121442070,2005.07.15,R01-M0-NB-C:J07-U01,2005-07-15-08.41.10.966443,R01-M0-NB-C:J07-U01,RAS,KERNEL,INFO,generating core.1682,E67,generating core.<*>
15,-,1117957045,2005.06.05,R20-M1-N8-C:J04-U01,2005-06-05-00.37.25.012681,R20-M1-N8-C:J04-U01,RAS,KERNEL,INFO,generating core.775,E67,generating core.<*>
438,-,1119803468,2005.06.26,R36-M1-ND-C:J16-U11,2005-06-26-09.31.08.715435,R36-M1-ND-C:J16-U11,RAS,KERNEL,INFO,data store interrupt caused by dcbf.........0,E53,data store interrupt caused by dcbf.........<*>
1957,-,1133928323,2005.12.06,R31-M0-NF-C:J07-U11,2005-12-06-20.05.23.094186,R31-M0-NF-C:J07-U11,RAS,KERNEL,INFO,"Kernel detected 4898338 integer alignment exceptions (4898331) iar 0x00544ea8, dear 0x049e75e0 (4898332) iar 0x00544eb8, dear 0x049e7600 (4898333) iar 0x00544ea8, dear 0x049e7620 (4898334) iar 0x00544eb8, dear 0x049e7640 (4898335) iar 0x00544ee0, dear 0x049e7660 (4898336) iar 0x00544ef0, dear 0x049e7680 (4898337) iar 0x00544ee0, dear 0x049e76a0 (4898338) iar 0x00544ef0, dear 0x049e76c0",E78,"Kernel detected <*> integer alignment exceptions (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*>"
1522,-,1130645609,2005.10.29,R06-M0-N9-C:J02-U01,2005-10-29-21.13.29.183062,R06-M0-N9-C:J02-U01,RAS,KERNEL,INFO,"CE sym 29, at 0x1b719940, mask 0x02",E18,"CE sym <*>, at <*>, mask <*>"
566,-,1120447005,2005.07.03,R26-M0-NA-C:J08-U11,2005-07-03-20.16.45.820915,R26-M0-NA-C:J08-U11,RAS,KERNEL,INFO,generating core.31006,E67,generating core.<*>
